probe	RB_E_001	RB_E_002	RB_E_003	RB_E_004	RB_E_005	RB_E_006	RB_E_007	RB_E_008	RB_E_009	RB_E_011	RB_E_012	RB_E_013	RB_E_014	RB_E_015	RB_E_016	RB_E_017	RB_E_019	RB_E_020	RB_E_021	RB_E_022	RB_E_023	RB_E_025	RB_E_026	RB_E_027	RB_E_028	RB_E_029	RB_E_030	RB_E_030_IC	RB_E_032	RB_E_033	RB_E_034	RB_E_035	RB_E_036	RB_E_037	RB_E_040	RB_E_042	RB_E_044	RB_E_045	RB_E_046_IC	RB_E_048_IC	RB_E_049_IC	RB_E_050	RB_E_051	RB_E_052	RB_E_053	RB_E_054	RB_E_055	RB_E_056	RB_E_057	RB_E_058	RB_E_059	RB_E_060	RB_E_061	RB_E_063	RB_E_064	RB_E_065	RB_E_066	RB_E_067	RB_E_069_FR	RB_E_076	RB_E_077	RB_E_078	RB_E_079	RB_E_080	RB_E_081
cg00030627	2119	1342	2032	846	1943	2410	6776	2992	673	5312	1084	2031	1248	1044	1706	3036	1463	1263	1068	921	1459	1451	1254	1428	7921	844	1285	1991	922	1246	1334	1488	3872	2662	957	2996	1278	1449	1590	1160	851	1889	1209	1937	1303	1246	5297	9846	9281	7232	4120	1485	1379	3255	1518	1259	1028	1962	1360	6565	1038	951	583	797	692
cg00030682	882	623	526	698	545	890	589	1056	640	588	318	551	322	310	350	477	477	396	443	555	426	583	616	780	661	955	519	849	844	415	453	1001	789	961	389	950	459	1087	620	473	562	669	652	393	476	519	1090	1101	632	926	738	539	489	671	563	495	560	707	718	398	394	248	390	674	326
cg00030774	28716	25212	28445	25677	23297	25809	24814	21959	26076	16183	16881	27067	17287	13969	14135	15885	16199	17223	13764	14312	14138	29921	27412	25928	28857	21213	14976	14306	28076	17164	19858	26589	26147	30544	14714	28586	14753	26599	18989	9295	7074	17411	17546	19753	14939	16932	28188	26488	26566	29663	23816	27398	24157	27290	24847	27750	25727	24026	28563	21178	22553	24065	23509	23717	23160
cg00030795	34359	30190	32275	27880	27615	26340	28429	14022	26248	18098	19077	29221	18615	16607	17847	20722	18298	16900	18691	14481	17511	28740	27652	29337	24945	27113	17544	20443	28713	22008	31449	30923	35816	35735	15917	32223	15480	32896	19593	20277	11256	19496	22623	20754	19137	17952	26943	24747	30137	30464	24381	30585	26843	29690	26969	27681	32024	25593	29899	22823	25958	27498	22709	24050	27074
cg00030807	1398	809	940	725	975	739	547	1348	444	366	877	867	423	537	655	703	496	577	329	281	526	843	949	999	1148	946	490	1025	661	525	903	937	854	1529	444	1838	596	906	593	580	632	536	587	921	696	567	969	1606	733	1206	1023	1241	1076	1177	1307	773	852	1563	1550	516	711	895	680	510	685
cg00030816	16894	15302	12965	10122	11594	11701	9092	17108	9470	9267	13040	11935	10276	9303	9378	9809	11212	9801	10315	7852	7472	13028	11671	11900	12883	14884	9517	12788	12193	8664	17040	17309	14988	16493	7693	19276	8693	16725	13317	8683	14181	10730	11456	12789	12016	11707	10945	12666	14506	14297	11024	12890	11949	5603	11902	8267	12482	10037	11961	8323	8920	5467	3578	7794	6379
cg00030909	662	739	682	674	681	795	444	1520	679	612	478	1020	438	763	460	411	296	170	403	272	456	685	627	1037	855	802	470	557	935	362	647	958	875	1024	552	1080	468	797	393	617	618	414	736	741	337	683	842	1486	788	639	599	1063	517	581	614	358	753	537	665	376	354	388	450	310	270
cg00031013	2389	3230	1202	977	503	905	674	755	686	2810	5700	2613	804	5970	694	960	927	1217	3092	965	615	1250	1623	3497	4845	1729	1171	2975	1738	1797	2200	3775	2248	1338	940	2378	822	1453	970	782	436	976	1356	1840	1451	2844	3746	2669	2254	3444	2254	4268	1863	1380	2850	674	5280	2055	8087	1844	938	496	486	2885	722
cg00031063	2455	2742	3519	1725	2526	2979	4205	1865	2659	3227	881	1394	693	513	623	776	842	758	1715	812	669	1785	2481	1640	3183	2244	846	1239	2428	3634	2579	2598	2605	2789	758	3048	708	2159	1025	1116	1138	1043	1119	1087	685	971	2793	2309	2852	4298	1944	2191	5306	3857	4852	1714	4168	2951	4729	2603	2227	2455	3066	1795	1838
cg00031105	14930	8865	11823	5099	5387	6511	11910	9405	6594	8179	8446	7959	4152	8629	9209	11800	8096	7356	6113	5019	8045	8854	5905	8153	9289	6818	7462	12274	5946	8278	7895	13371	18141	9882	6713	13692	7303	4449	10179	3881	6708	7998	12744	8845	8906	9311	14584	13578	13385	14761	14046	9427	6781	15808	8591	6566	8953	7367	7463	6374	9989	7992	8251	4314	6606
cg00031162	12679	8656	12049	8005	8244	9170	14955	6084	5337	9383	5335	7818	4686	6545	4817	6147	4802	4277	1899	3691	3489	8854	6314	4384	13055	3500	3641	7153	7185	3351	6190	11887	13391	6833	3244	9806	3952	12536	3079	2235	1949	5241	8040	5166	6207	4624	12347	15222	9147	13611	6998	13655	4740	7088	4846	3529	4383	5248	7519	8036	4000	5213	3547	7091	5608
cg00031165	23433	26529	24982	24184	23466	23097	23248	22405	24824	19065	19097	27075	19508	17439	16081	18169	19255	18966	20872	15197	15193	25871	26144	25871	22956	27373	16555	19191	23527	22314	25274	25899	25922	26461	17267	28610	16758	26319	21797	20350	18603	19402	19083	21343	18384	18274	25078	27160	25819	24969	23096	28163	25793	26845	21957	24400	24065	20956	24302	18185	21043	18668	22370	18937	21330
cg00031187	2658	1924	2232	906	701	1103	1141	3068	1053	2310	2466	1927	3443	2574	2850	2565	2481	2691	2869	4347	2201	2565	2800	2385	2303	1780	4361	3675	3141	3777	2117	1329	2833	3557	1978	2617	2097	2660	6537	2544	3417	3247	2732	3719	2745	2713	2871	4090	4725	3233	3339	1972	3139	850	3854	1471	2732	1837	4365	1012	1711	879	2093	1227	1522
cg00031235	3866	1451	2093	1542	13811	1764	2130	3343	1607	6771	2618	2360	1829	8470	1515	1325	1093	9444	4036	1303	1118	2317	16261	16454	2352	17623	2571	3650	2138	1154	2223	3803	2292	3054	1462	2884	822	1931	1505	1031	1200	9477	8908	1480	1195	2977	10878	2366	15090	3039	1709	4675	2358	1339	1990	2369	2456	1850	9850	13592	1921	4451	7432	1700	13310
cg00031256	10300	11111	13766	11029	11865	11480	12759	8757	10511	10340	7984	8100	8366	6125	8496	8864	7453	7437	6493	6161	7090	8801	8151	9260	10832	12438	7307	10191	9103	10138	12266	12130	13818	12925	6977	13475	8072	12951	7936	10049	6604	7554	9484	8174	8329	7226	9801	11425	13059	11428	8461	13010	8945	9866	9495	8016	8603	9147	8478	9343	7924	8994	9380	7751	8197
cg00031277	1025	528	840	615	160	587	651	534	872	869	749	475	736	683	688	718	822	732	908	582	690	1043	826	776	763	1144	865	607	841	812	863	673	1531	1092	482	1265	456	841	1347	456	434	869	1022	1184	579	863	613	1454	865	1435	889	738	1313	755	1320	879	1618	1164	689	436	384	340	250	338	397
cg00031303	7884	7012	7204	7335	8071	9265	5917	7695	6973	1337	6664	3554	4165	4767	4421	6718	6803	5372	3894	3991	3975	5843	5613	1985	6484	8003	6560	8076	8408	8707	7810	8378	8788	7252	4481	6999	5371	8541	6949	7542	8701	6986	5467	6382	5166	5370	6505	8119	8201	10210	5520	8040	6913	9610	7480	6831	5978	7874	6649	6618	6439	6000	5978	7518	5693
cg00031340	4340	2739	3562	4029	4325	4519	4805	3970	6198	5207	4125	3436	5698	3105	5474	5717	5113	5467	5809	4789	4367	5576	5633	5340	5693	4488	4338	5357	6332	6373	3953	5202	5253	4787	5129	4805	5885	4014	6532	2857	2270	4817	4099	5864	3713	5796	5454	5516	5213	5037	3818	4814	4427	2886	4141	4609	5659	4270	5672	4953	3738	3860	2816	3867	3220
cg00031346	4095	2422	6493	3119	2129	2272	7699	2876	1523	6616	2081	3351	1832	2124	2501	6470	1758	2626	976	1204	3471	2104	1668	3103	7987	2405	3321	7631	1607	1331	3053	4030	9730	2966	1973	6156	1181	3914	1441	1593	1366	1721	5549	2576	2085	2103	8284	9556	7028	7298	7554	4108	2060	3499	2720	3168	2359	4661	2805	8068	3189	1789	1777	2952	3416
cg00031402	1023	1157	1044	626	862	840	839	978	1034	2345	2551	950	2415	1942	2503	2838	2834	2524	2654	1177	1596	826	1142	1302	717	1076	2179	3291	1067	2380	1083	1027	1549	1035	2488	1367	2115	1051	2944	3334	2741	2259	2536	2792	2529	2641	1382	1798	1153	1249	1024	1310	945	1131	1263	1256	1344	1155	1400	895	960	1162	1170	1182	927
cg00031443	18545	12008	16542	10829	12759	12602	10653	10197	12625	9997	8895	13735	7843	10787	9778	8223	10559	10489	7001	7980	7822	16398	12836	14713	15341	16458	9217	10422	11034	8261	14874	14641	15039	17594	9174	12293	8702	19509	11366	6582	6410	11240	12049	13205	10487	11972	13253	11257	13475	14588	10958	13700	13488	12540	12122	12936	16910	13192	17706	12814	12482	14801	15283	14123	12926
cg00031456	12158	14530	14917	12889	14656	14868	14096	10507	14802	9926	10159	10707	10455	7324	8993	9595	8783	9169	9893	6837	7086	11530	11888	12749	14727	12422	7582	9744	15668	11347	12211	14560	13821	13900	8587	14653	9908	12502	10849	7505	7936	8064	9504	10109	8638	9494	14380	14480	14953	15742	11478	14915	12734	12566	12122	11235	12150	12278	12547	11653	10685	11509	11862	10832	10115
cg00031476	5656	4616	5366	3738	2576	2308	6500	7091	3250	6606	7465	4362	6856	6790	5982	6382	7817	6843	7015	5182	4724	5542	5017	5294	3442	5085	4944	9469	3820	4885	5527	4462	8088	6503	5326	8783	5599	6349	11191	3796	7673	6277	6896	9514	7010	7028	4829	7764	5857	5373	5177	5037	5027	2587	5125	4418	5165	4135	4637	2736	2272	1940	1745	2456	2612
cg00031491	6543	3603	13367	8776	4083	7104	10944	3121	2629	12385	3571	3329	2170	2302	5651	8597	3645	2583	4218	2165	3568	5850	3216	2056	9833	4389	3081	7778	2378	3324	6108	11744	14655	4644	2508	9709	3957	5572	3013	3429	2554	4784	7102	3212	3923	2943	10097	9905	8423	10081	9342	4133	2694	6889	2742	4792	4416	3315	4745	3885	3597	3173	4006	2901	3979
cg00031556	2666	2383	3173	3737	5233	1604	4794	3459	1359	7084	1312	2420	1656	1236	2181	3099	1159	1558	946	1555	954	7187	2743	3574	10158	6325	1320	2424	2399	839	2395	2068	5222	3946	924	5084	1227	3535	1432	638	1358	1577	1273	1132	1324	1809	4588	12088	13043	7356	8594	6529	1344	6307	2324	2261	2054	4375	1906	12658	1811	886	436	905	2015
cg00031663	33267	31721	31274	30508	28514	30533	30300	22677	31382	23525	24899	32900	25842	21018	20679	22668	24027	24523	26968	18514	20548	31986	31589	34098	30859	34440	21757	23157	33580	29003	32714	31839	33569	36537	21708	31187	22712	33535	24482	22738	17994	24837	24078	27814	24811	23846	34862	32113	31585	32923	26492	31996	31049	33447	25152	29109	33071	25745	35355	23138	25514	26841	29119	26278	26354
cg00031708	4488	2278	3524	1554	2253	2889	10299	3623	6456	6826	2109	10928	9194	4766	6419	10498	8647	12902	4394	6451	5734	5487	3656	4569	8430	12833	7606	7226	5849	5339	4460	2717	12680	10017	7052	11531	6212	5396	7947	1844	1699	5459	10268	8917	4581	5752	18948	16255	16112	12789	17546	6103	3272	5570	5716	9547	6211	6371	4773	8910	6357	4650	3289	2592	3149
cg00031722	768	611	953	655	512	503	555	1431	598	929	817	614	1011	1085	767	1119	834	1052	651	841	824	733	447	675	665	759	1058	997	879	575	523	799	1001	717	1027	673	713	835	1383	841	1227	1441	1108	1330	662	1186	501	1313	670	685	741	773	187	750	1005	401	729	355	867	415	315	305	423	493	460
cg00031779	3579	5193	5427	4907	4244	3504	7060	4986	4057	2894	2252	3631	2825	2100	2489	4273	3571	2977	1880	2681	2646	4342	4529	4466	5172	4785	2305	3446	4630	2251	4150	3188	9498	4715	2913	7458	3185	6206	4122	763	1474	3533	7349	3635	3061	3298	6265	5263	6125	6721	5272	3129	2696	2677	3736	3101	2689	3140	4552	2048	3238	2165	2623	2357	3470
cg00031896	41757	39863	37957	30316	37895	36961	39109	35399	39455	27154	29897	39813	27455	26448	20986	27276	29435	28217	32485	23086	21651	42700	43416	45215	42117	31911	21716	24688	41990	33486	37341	30338	34848	41751	26050	35658	22838	33066	28876	23323	19776	23501	29937	31839	25787	28842	34709	37959	38744	42064	31706	41363	39121	42030	36158	37693	43925	34583	43861	26862	32157	34869	32293	32367	32869
cg00032192	866	769	513	864	578	457	632	141	735	1219	1124	943	794	1104	1297	939	880	915	943	991	898	1163	815	770	835	1003	1107	1086	796	903	933	857	919	1109	606	720	1092	1240	1455	1019	1611	1249	1302	1514	988	917	646	775	748	775	706	669	689	603	580	562	705	633	1107	390	603	609	481	442	396
cg00032227	28454	26791	28409	24959	24224	24475	23760	19202	25175	18542	19852	27431	20669	18365	17668	19723	19088	19469	22370	16335	16960	27825	24122	27854	27547	29251	17444	20144	27097	23659	27878	25474	25301	30135	17901	25806	18288	26425	21607	21447	15408	20052	21421	23521	19971	19432	28020	26489	25191	27494	23096	30277	25016	28459	23862	25219	29279	25510	29457	22047	23054	26869	23160	22650	24606
cg00032246	6466	8203	6323	6884	5670	5709	5716	8366	7385	6688	7920	7279	6979	6149	6265	6583	7141	6929	6518	5044	5046	9271	8961	8429	6138	9346	5448	7545	8172	4343	6517	6428	8786	9195	4267	11203	5775	11861	9858	3935	6415	7469	8043	7418	7318	6987	7529	12406	6846	7966	7331	6977	7652	2641	7672	5820	7904	4896	6205	3302	4576	4187	2692	3564	3493
cg00032308	553	496	531	568	360	169	630	508	264	477	465	506	272	479	447	593	419	539	647	440	363	396	443	494	551	450	484	523	418	635	562	796	387	374	617	945	368	829	1029	458	359	448	417	685	260	677	735	628	590	390	497	504	1075	533	812	500	868	656	928	328	348	368	427	360	231
cg00032366	21775	15338	13433	16464	11867	11472	12292	12562	9860	7820	5883	12163	3954	7395	4245	4887	4886	4781	7255	4658	4009	11206	13892	17770	28447	9437	3644	8651	11539	7287	10015	16706	20373	10673	4684	22918	4269	10244	7217	6059	4014	5144	5348	5318	4936	6984	29851	26417	26760	24671	23479	12854	15248	27979	13466	10172	18048	19283	19082	10456	10194	10645	17054	16569	14680
cg00032490	474	472	1303	651	486	471	713	1153	354	330	188	515	404	201	241	164	257	286	272	222	189	527	501	249	651	860	344	467	496	450	495	563	486	645	296	860	305	699	531	418	745	431	614	516	171	163	771	962	713	662	581	441	594	407	370	442	755	296	752	255	338	342	438	127	321
cg00032609	3433	9524	7972	8583	9062	9469	15406	10937	6437	13985	12559	13435	16867	4504	10050	10203	10523	10846	9023	7866	3346	11149	15913	9329	14874	12232	9468	14688	8555	8904	10337	8177	11514	10864	6184	16216	4757	12530	12030	6348	6728	10610	11198	5531	15465	13939	15755	21517	14754	16020	16146	13229	8628	6921	9511	7430	5750	9469	10021	4114	3697	4022	7036	4725	2767
cg00032610	2081	2059	1610	1692	1861	1045	491	2221	1346	768	1420	1852	1514	1462	1391	1343	2078	1152	870	1001	891	1658	1611	1772	2036	2041	1259	1409	1305	1320	1896	2041	1812	2003	1077	2115	1002	1435	1613	843	1277	1824	1525	1487	1350	1755	1213	2412	1216	2126	1872	1538	2411	2800	2066	1692	2310	1940	2126	2703	975	603	2837	945	885
cg00032643	528	444	611	493	578	404	803	481	490	1167	713	657	697	467	781	793	543	607	734	699	501	624	523	525	551	640	563	1213	505	418	489	185	769	658	707	520	648	212	907	499	444	927	825	962	388	762	747	562	394	651	305	866	669	969	474	435	594	409	721	395	333	596	483	371	418
cg00032664	2559	2781	2034	2574	2199	1776	3659	3097	2617	2160	1330	3016	1596	1847	1924	2661	2110	2146	1508	1886	2066	3106	3002	2107	3249	1980	1821	2902	2414	1842	2880	3184	3814	3231	1605	4639	2002	2690	3141	984	1402	2840	3777	3075	2287	2068	3846	4583	4827	4285	3683	1891	3678	1992	3441	2017	2812	2434	2395	1843	1520	1310	1377	1607	1488
cg00032666	1769	2198	1938	1353	5344	1519	1745	9452	1444	7415	1352	1619	2684	7077	5903	1213	1058	2823	3699	5648	726	1031	6848	6180	2011	8854	4667	6785	1462	927	1585	3069	1859	2335	2013	3055	973	1640	3952	3663	5928	7385	7157	1198	831	2792	7833	6352	9826	2699	1865	7288	1829	1544	2073	1779	1619	2341	4745	5498	1139	4000	2149	1248	5238
cg00032756	7901	10268	9707	7061	7909	6884	6929	15252	7163	9562	10737	8245	11347	9864	10061	10073	11603	10158	10274	7944	7483	10113	10942	9324	8438	10682	8620	13167	9230	10664	11933	9363	11896	13472	7117	14217	8687	13722	17204	7860	9856	10297	11960	12346	11240	10604	10000	15464	9695	10679	8936	8227	11928	4339	12289	8962	9423	8242	9415	4974	4895	4174	4762	5372	4582
cg00032789	24547	22496	19706	21125	19662	22266	23018	16335	22157	16299	17327	21761	18369	15992	15252	17585	16519	16258	18370	13993	13766	22261	22208	17800	22905	19187	13593	16938	22692	15356	23223	23596	23274	25802	14449	24181	14726	25776	20177	15459	11437	16615	17667	19668	17536	18745	22630	21484	23359	22323	17459	23891	22399	19505	18397	22917	25830	18523	25943	19410	21196	19195	17870	18272	20321
cg00032805	12340	17414	17300	12601	10815	15212	15636	10036	14815	15622	15396	14645	10204	12988	12657	13098	14717	14715	14338	11088	10802	14321	15309	15549	14015	16839	12237	14751	13415	14784	16573	17066	17012	16767	11097	21189	12314	14861	20257	6736	8593	14776	14685	16279	13016	14513	13639	17580	15620	16070	14486	13249	17440	13644	13573	13059	15851	11104	14039	11640	10524	11061	14998	11842	13598
cg00032852	3537	3995	3041	2623	2380	2588	2266	4870	2598	14433	5822	4434	5185	5873	5339	6007	7024	6605	4774	4404	3992	3295	3794	4650	3497	4693	4210	4588	2964	4319	4749	3939	4108	5627	4779	6239	4765	6900	7148	1436	2606	5584	7053	6852	6002	5995	4367	5751	4120	5687	4093	2933	3861	1018	5308	3461	3831	3580	4436	1623	2147	2178	1364	2023	1862
cg00032879	6005	4720	5433	3621	4341	4350	4592	3018	2928	3892	2419	4253	2330	2796	2547	3134	2860	2909	3035	2384	2155	3986	3681	4239	4891	3596	2719	2632	3391	3491	3345	6648	4280	4993	2806	7161	2723	4887	2805	2470	2752	4014	2290	3945	2216	2747	6367	8093	8902	7651	6119	3698	5252	10056	4469	3258	4947	4779	5094	3517	4607	5978	6043	3579	4289
cg00032884	1491	1676	1190	1160	1809	985	1268	4307	1508	1196	1305	1557	1020	1257	886	1394	1395	1530	1454	1049	970	1710	1365	1915	1346	1369	1216	2961	1294	909	1289	1496	2021	1794	1054	2178	1422	1790	2632	2235	3828	1413	1651	2451	1306	1235	1756	3319	1839	1485	1605	1122	1422	1015	1183	1390	1542	2157	1278	919	941	498	429	657	661
cg00032912	1593	576	1934	463	391	513	5378	628	1096	1264	3191	611	317	249	313	379	424	4928	1526	299	262	4550	983	972	1009	698	335	759	2124	725	605	668	1951	933	345	1105	297	1017	1634	564	594	743	566	2337	218	4350	10109	803	2517	2501	9256	540	3238	8820	1481	893	3855	9319	7545	542	854	392	1149	435	707
cg00032959	1525	1110	988	861	905	1097	1176	1110	1417	3395	633	720	1010	841	935	1248	1087	1234	1031	773	868	1873	1638	1624	1581	1098	709	969	1667	1485	1318	1159	1811	1802	736	2153	1100	1324	1373	548	696	1431	1134	1310	848	779	2364	2299	1736	2334	1863	1048	1414	842	1823	1462	864	1934	1756	404	797	580	837	960	741
cg00033102	5392	7038	5956	5652	4379	4938	5948	7060	4280	3321	3154	4966	2135	2792	2638	2559	2179	3029	2196	1901	1683	4691	4157	5538	5257	4200	2168	3904	4327	2358	4713	5040	6260	6073	2119	6032	2283	5514	3101	2738	3217	2547	2551	2796	2240	2860	4683	6368	6359	5389	4736	5573	5419	5609	5064	4672	5426	5107	5556	3811	3736	3354	4298	3603	4216
cg00033127	22205	22291	21943	20202	18582	21301	18622	9991	17961	12916	14210	21245	13815	13306	12587	13298	13603	12712	14016	10571	11033	21006	20503	20147	20800	18465	11894	13285	20067	15439	18686	21503	19655	23389	13174	21296	12661	17699	16866	7573	5795	14859	16841	15108	13149	13989	19394	20137	20350	20302	18519	20736	21088	19218	18710	20582	22674	18440	18870	15938	14380	15670	14282	14439	15723
cg00033155	1045	743	719	807	1342	956	1919	5342	719	2186	1410	824	2560	704	2062	1031	4827	698	6136	3090	1038	2882	2796	1625	1217	1104	1520	2803	3041	3607	1834	941	1143	1006	1808	1229	4102	1255	4160	921	1854	783	1495	2121	2495	3846	2559	10807	4936	4982	1463	1005	3550	1850	4737	1830	3819	2801	7739	546	847	1152	966	485	2121
cg00033165	692	963	778	513	572	535	1302	912	403	838	880	688	434	714	1026	974	594	554	1244	508	678	1044	473	1065	794	913	682	1010	692	743	899	876	1352	1309	641	2391	760	1395	750	190	450	931	1232	685	793	996	1880	2303	1648	1578	1840	594	856	845	1277	467	1197	1055	2438	402	536	310	487	376	292
cg00033209	1127	739	903	916	1057	834	1064	1448	467	654	534	549	762	470	707	926	2140	613	567	595	654	1259	1139	1050	1068	1107	580	878	1215	1318	1049	1280	989	1286	1430	1279	572	1029	1168	844	909	852	533	2317	409	893	802	1689	1382	1032	2319	1416	1529	925	1454	476	2604	1959	3012	370	599	501	630	907	473
cg00033213	6728	21079	30710	18933	17118	17607	25760	26275	28415	19631	12786	21183	9503	17688	2305	19252	11645	2370	20477	15798	9344	33876	29857	4712	32136	29515	13983	17401	30402	23097	19740	21996	21807	5683	11068	23065	2594	27090	15472	13119	3468	3079	12622	3146	17113	2147	20614	6986	25708	22205	19844	31372	22510	8206	28716	4865	5002	26906	5912	17488	5801	19010	9415	28892	18920
cg00033220	28464	26153	27325	25621	21768	26265	26397	24455	26648	18041	19761	26840	19690	17415	16340	18813	18857	20131	21858	16360	15575	29365	30053	29983	29944	30964	16688	17787	29236	20460	28938	25903	28162	33991	15858	30581	17835	28429	21643	14362	15937	19281	20254	20627	19435	19845	24422	25406	27441	28479	21859	26545	27106	19477	25861	23821	29678	22878	26323	20275	21460	23536	22351	20134	19411
cg00033304	2847	6601	2525	1684	7951	1991	4291	6848	1526	4274	3250	9060	5372	1316	1452	1986	1576	1407	2521	1399	1648	1855	5081	1474	2389	2544	1413	6102	2290	1808	1567	5257	3865	4413	1595	9988	4391	7136	2572	3374	1915	1937	8078	7288	5510	2333	3048	6037	5581	7763	2329	3409	3466	4830	2481	1902	2752	2868	3523	3294	2007	1200	696	800	960
cg00033334	3405	2265	3135	2218	2888	2041	2497	2962	1786	2338	2153	2344	3222	2087	2343	3322	2733	2758	2562	1983	1845	2596	2269	2972	2564	2564	2359	3056	2979	2284	2885	3535	2717	2924	2382	2593	2305	3061	3430	3448	3045	2804	2898	3204	2229	2264	3069	3046	3681	3099	2264	3199	2646	1998	1927	2073	2857	2674	2810	1918	2077	1932	1387	1678	1333
cg00033371	2362	1673	1588	1271	1169	1661	2043	1180	759	730	579	1054	301	286	299	311	334	325	415	239	298	1350	917	853	2625	1017	453	527	854	370	1191	3478	1688	1288	318	3081	444	1096	348	587	743	360	850	576	684	385	1302	1308	1722	1579	1220	1308	1028	2338	855	785	567	1077	820	3374	982	668	881	870	2015
cg00033457	12649	14097	15348	13424	12613	12551	15122	7826	13066	9917	10906	10304	10599	8103	9740	10762	10156	10598	10882	7896	7889	10889	12022	12924	14446	13323	8473	9609	13935	12689	13270	13588	14206	14440	8981	14604	10769	13805	11349	7845	5574	9127	10929	11156	9636	9837	14128	12619	14300	16750	11132	14853	12826	13454	10324	10671	12374	11894	13015	12723	11825	11874	11817	11982	10089
cg00033490	1077	1158	1015	723	748	409	581	2263	737	559	726	856	587	595	669	669	607	619	623	701	537	1249	869	1164	631	966	516	748	765	971	1021	735	835	1207	580	1492	415	1020	1069	567	1039	772	924	872	530	762	850	1369	885	1046	706	633	1174	396	1225	666	1039	1017	1488	506	536	482	649	466	542
cg00033533	10817	9740	9337	6418	6940	7504	7415	4324	5461	5561	6757	9692	5970	6198	5750	6748	6284	5774	5514	4761	5211	8332	7832	10218	7625	6619	5052	5453	7276	5119	9645	8772	9175	11013	5440	10359	5019	8810	6057	3107	2779	7808	8171	8765	6504	6717	9864	5628	8384	9397	7586	8529	11058	6840	9939	10103	10784	7896	9873	5968	6830	7773	6588	7105	8369
cg00033551	1036	538	676	601	812	962	856	562	412	467	539	526	347	270	221	291	284	424	441	330	261	507	1227	666	725	1021	249	226	977	671	1246	755	1069	904	198	1631	270	661	273	563	420	486	380	672	221	246	1065	975	984	1216	481	1184	1776	5487	1381	769	4420	1030	957	373	1549	908	649	348	207
cg00033584	4110	3760	3656	2908	3122	2792	3307	8411	2489	1639	1392	3026	826	740	1307	752	1381	1276	1004	665	774	4249	3221	3454	3711	4033	1480	3240	2054	398	3666	4256	4869	5054	999	6610	1042	4794	3207	2374	3571	1805	1932	2603	1297	1615	4848	9831	5405	7264	5604	3574	4483	3217	4506	3631	3614	3941	3026	2259	1803	1440	1872	1725	1543
cg00033643	24091	24753	23967	17811	17271	20131	22526	20028	22579	28989	21807	19435	16296	18277	14428	19313	16691	18685	21114	12958	16086	23741	22080	21289	20861	23158	16385	19509	21051	25168	23397	23258	24792	24859	18327	27803	14832	23771	26526	14590	9267	20872	20249	21198	19364	18901	23789	17632	21660	24014	19994	24668	23994	18322	22203	22227	27403	22139	20422	17008	17071	19549	21666	19155	21694
cg00033666	2703	2033	3616	1958	1874	1983	10816	2412	3383	3234	4929	2038	1206	1107	1218	1613	1195	7481	3768	1044	955	7861	2796	2497	2133	2347	1569	2109	4313	2777	2487	1996	2865	2971	1067	2521	1259	2088	3672	1032	1332	1990	1430	4442	1285	6725	12545	3451	3378	2973	12420	2590	6161	11964	4496	2836	8694	10705	16361	1652	1952	1183	5265	1871	1810
cg00033668	15472	16495	17526	16627	17662	18090	18370	15474	18496	12271	13039	12837	12198	9755	10430	11265	10520	11409	12287	8947	9132	15006	16302	17900	17558	17453	10062	12593	19086	14092	15690	18059	18039	17462	10697	18574	11684	17179	12129	12775	10876	9971	11391	12558	10662	11312	17509	18091	17487	20100	13972	19686	15344	18334	15535	13753	15397	15998	15739	14552	13836	14099	15338	13563	12388
cg00033703	508	460	391	610	745	365	552	487	443	466	446	534	225	470	447	335	454	340	273	377	440	638	478	482	360	505	360	717	524	508	613	572	518	911	247	320	382	544	253	448	357	558	522	763	324	465	1208	786	486	507	698	600	501	518	576	396	452	472	589	411	323	266	284	401	207
cg00033773	26398	14091	16837	20928	10831	13860	21648	6036	14759	8225	9236	22436	5925	12061	4923	7172	9239	8050	4554	5839	6575	14868	12014	16931	25795	10777	7696	12374	12749	4772	18552	21342	17627	13227	7735	28559	5045	8098	7836	1852	2314	6041	17178	9298	7504	9974	17487	18799	22046	14910	13668	16256	6464	19741	8747	12042	8406	11337	8559	21431	15512	11340	13003	12280	11059
cg00033806	4526	2471	4045	2655	3213	3765	8505	4227	1758	2014	908	2166	496	917	1363	1173	1191	1059	834	1128	1038	2005	1693	2273	5201	2322	1055	3318	1652	1230	2026	3208	5592	3196	1112	5905	1362	2067	1746	1866	2919	1547	2581	1440	1342	847	4441	5476	10503	5943	7723	2590	2563	19795	3697	1965	3387	6405	4624	1956	1998	1548	1596	1394	3226
cg00033834	6844	8611	11014	8742	8079	12374	15204	10699	6030	9678	2371	6169	3217	2674	3017	3360	3081	2616	2208	2090	2195	7006	7335	5964	20557	5700	2502	5124	6400	3175	6068	8031	7970	8328	2603	10364	2609	6904	3948	4211	3983	3651	3029	4086	2704	3062	11026	15144	14499	15490	15790	9430	7583	15414	6812	8320	6993	7350	9329	10877	6169	8024	5862	5435	5295
cg00033877	1603	1357	1632	2440	1137	1600	1270	2271	1085	1299	635	1420	696	672	4496	848	929	1003	1316	879	689	1858	1252	1609	2402	3885	948	3347	1437	1719	5104	2522	1849	954	1403	4477	985	1114	1820	1688	1001	1354	1235	1146	1348	2106	1695	3305	4292	3252	2901	2998	1733	1608	2614	1469	3395	3900	3151	5240	1971	766	764	820	1590
